extracurricularactivities,skills,location,yearofstudy,subjects,gpa,languages,clubmemberships,interestarea,gender
Music Club,Programming,Rajasthan,Senior,Psychology,7.64,"Chinese, Japanese, German, English","Music Club, Volunteer Group, Sports Team, Art Club, Debate Club, Coding Club",Computer science,Male
Debate Club,"Artistic, Problem Solving, Public Speaking, Programming",Sikkim,Sophomore,Psychology,5.82,"Chinese, German","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club, Coding Club",Biology,Female
Coding Club,"Programming, Data Analysis",Tamil Nadu,Sophomore,Biology,4.68,"Spanish, English, French, Chinese, German, Japanese","Music Club, Art Club",History,Female
Art Club,Programming,Telangana,Graduate,Psychology,6.86,"German, Spanish, French, Japanese, English","Music Club, Sports Team",Mathematics,Male
Coding Club,"Problem Solving, Leadership, Public Speaking",Tripura,Freshman,Physics,5.06,"Spanish, German, English",Art Club,Computer science,Female
Music Club,"Programming, Public Speaking, Leadership, Data Analysis, Problem Solving",Uttar Pradesh,Freshman,History,6.62,"German, French, English, Japanese, Spanish, Chinese","Debate Club, Music Club, Coding Club, Art Club, Sports Team",Biology,Female
Volunteer Group,"Data Analysis, Programming, Problem Solving, Leadership, Public Speaking",Uttarakhand,Sophomore,Biology,5.42,"Chinese, Japanese, French, English, Spanish, German","Music Club, Debate Club, Art Club",Biology,Female
Volunteer Group,Programming,West Bengal,Sophomore,Biology,7.12,English,"Sports Team, Debate Club, Volunteer Group",Computer science,Female
Coding Club,"Leadership, Data Analysis, Problem Solving, Programming, Public Speaking",Andhra Pradesh,Graduate,Physics,4.84,"Japanese, French",Volunteer Group,History,Male
Volunteer Group,Artistic,Arunachal Pradesh,Freshman,Computer Science,7.36,"French, German, Japanese","Volunteer Group, Music Club, Sports Team, Art Club, Coding Club, Debate Club",Mathematics,Female
Music Club,"Data Analysis, Problem Solving, Artistic, Programming, Leadership",Assam,Senior,Psychology,5.76,"French, Japanese","Debate Club, Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",Computer science,Male
Debate Club,"Artistic, Programming, Leadership, Data Analysis, Public Speaking, Problem Solving",Andaman & Nicobar Islands,Senior,History,7.8,Chinese,Art Club,Mathematics,Female
Debate Club,"Problem Solving, Programming, Artistic",Chandigarh,Senior,Physics,5.3,"Spanish, German, French, Japanese, English, Chinese","Debate Club, Music Club, Sports Team",History,Female
Debate Club,"Leadership, Public Speaking, Data Analysis",Dadra & Nagar Haveli and Daman & Diu,Junior,Mathematics,7.24,"French, English, Spanish, Chinese, German, Japanese","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team, Debate Club",Computer science,Female
Volunteer Group,"Artistic, Public Speaking, Data Analysis, Programming, Leadership, Problem Solving",Delhi,Junior,Mathematics,6.32,"German, Chinese","Sports Team, Music Club, Coding Club",History,Male
Sports Team,Programming,Jammu & Kashmir,Senior,Psychology,5.76,"French, English, Spanish, German","Debate Club, Volunteer Group, Coding Club, Art Club",Mathematics,Female
Volunteer Group,"Data Analysis, Programming, Problem Solving",Ladakh,Junior,History,5.88,"French, Chinese, English, Japanese","Debate Club, Sports Team, Volunteer Group, Music Club",Biology,Male
Art Club,"Programming, Data Analysis, Problem Solving, Artistic",Lakshadweep,Senior,Mathematics,6.3,"German, French, Spanish, Chinese","Coding Club, Sports Team, Debate Club, Volunteer Group, Music Club, Art Club",History,Female
Art Club,"Artistic, Leadership, Data Analysis",Puducherry,Senior,Computer Science,5.38,"Spanish, Japanese, French","Sports Team, Debate Club, Volunteer Group, Coding Club",Mathematics,Male
Debate Club,"Leadership, Problem Solving, Programming, Public Speaking",Bihar,Freshman,Physics,4.5,English,"Sports Team, Art Club, Volunteer Group, Music Club, Coding Club",History,Female
Coding Club,"Artistic, Programming, Leadership, Public Speaking",Chhattisgarh,Senior,Biology,4.28,"Japanese, Chinese","Volunteer Group, Music Club, Coding Club, Debate Club",History,Male
Debate Club,"Artistic, Data Analysis, Public Speaking",Goa,Junior,History,7.38,"French, English, Chinese, German","Debate Club, Volunteer Group, Music Club",Mathematics,Male
Art Club,"Data Analysis, Leadership, Programming, Problem Solving, Public Speaking, Artistic",Gujarat,Junior,Mathematics,4.22,"German, Chinese, Spanish","Sports Team, Art Club, Debate Club, Volunteer Group",History,Female
Art Club,"Programming, Data Analysis",Haryana,Graduate,Computer Science,6.0,"German, Japanese, French, Spanish, English","Coding Club, Art Club, Sports Team",History,Male
Art Club,"Artistic, Data Analysis",Himachal Pradesh,Freshman,Mathematics,5.16,"English, French, Chinese","Music Club, Volunteer Group, Debate Club, Sports Team",History,Female
Music Club,"Programming, Leadership, Public Speaking, Artistic, Problem Solving, Data Analysis",Jharkhand,Senior,Psychology,7.46,"French, Japanese, English, German, Spanish, Chinese","Sports Team, Coding Club",Computer science,Female
Volunteer Group,"Artistic, Leadership, Programming, Problem Solving",Karnataka,Senior,Computer Science,6.54,"Spanish, German, Chinese, English, Japanese",Coding Club,Mathematics,Female
Music Club,"Problem Solving, Leadership, Artistic, Public Speaking, Data Analysis",Kerala,Senior,Physics,7.42,German,"Coding Club, Sports Team, Art Club, Volunteer Group, Music Club",Computer science,Female
Art Club,Data Analysis,Madhya Pradesh,Senior,Mathematics,4.06,"French, Chinese","Art Club, Music Club, Debate Club, Coding Club, Sports Team, Volunteer Group",History,Female
Sports Team,Leadership,Maharashtra,Sophomore,Computer Science,4.3,"English, Chinese, German, Japanese, French, Spanish",Sports Team,History,Female
Volunteer Group,"Programming, Leadership, Problem Solving, Data Analysis",Manipur,Senior,Physics,6.08,"German, French, Chinese, Japanese, English",Art Club,Mathematics,Female
Art Club,Data Analysis,Meghalaya,Sophomore,History,5.6,"English, Japanese, Chinese","Debate Club, Volunteer Group, Sports Team, Coding Club",History,Female
Music Club,"Artistic, Data Analysis",Mizoram,Junior,Biology,5.32,"English, French, Japanese, German, Chinese","Art Club, Volunteer Group, Sports Team, Debate Club",Mathematics,Female
Coding Club,Data Analysis,Nagaland,Senior,Biology,4.5,"Chinese, Spanish",Volunteer Group,History,Female
Debate Club,"Leadership, Programming, Data Analysis, Public Speaking, Artistic, Problem Solving",Odisha,Senior,History,5.88,"Chinese, Spanish, German",Music Club,History,Female
Music Club,"Public Speaking, Leadership, Artistic, Programming, Problem Solving",Punjab,Senior,Psychology,5.34,"Spanish, French, Chinese","Art Club, Volunteer Group, Sports Team, Music Club, Debate Club, Coding Club",Computer science,Male
Coding Club,"Data Analysis, Problem Solving, Artistic, Programming, Public Speaking",Rajasthan,Sophomore,Biology,7.96,"English, Chinese, French","Sports Team, Art Club, Debate Club, Music Club",Mathematics,Male
Music Club,"Leadership, Programming, Data Analysis, Public Speaking",Sikkim,Sophomore,Biology,7.04,"German, French, Japanese","Sports Team, Debate Club, Coding Club",Mathematics,Female
Debate Club,"Public Speaking, Problem Solving, Programming, Data Analysis",Tamil Nadu,Senior,History,7.36,"German, Japanese, English, Chinese, French, Spanish","Sports Team, Debate Club, Volunteer Group",Mathematics,Female
Debate Club,"Leadership, Programming, Data Analysis, Problem Solving, Public Speaking",Telangana,Junior,Mathematics,7.14,"French, Japanese, Spanish, German, English, Chinese","Art Club, Debate Club",Mathematics,Female
Coding Club,"Leadership, Artistic, Programming, Data Analysis",Tripura,Sophomore,Biology,7.74,"Japanese, English, Spanish, Chinese, French, German","Sports Team, Music Club",Computer science,Female
Volunteer Group,"Data Analysis, Programming, Public Speaking, Artistic, Problem Solving, Leadership",Uttar Pradesh,Sophomore,Psychology,4.34,"English, German, Chinese","Art Club, Debate Club, Coding Club, Music Club, Volunteer Group",History,Female
Coding Club,"Leadership, Artistic, Problem Solving, Public Speaking",Uttarakhand,Sophomore,Biology,5.28,"French, Spanish, Chinese, German","Volunteer Group, Art Club, Coding Club, Sports Team, Debate Club",Mathematics,Female
Music Club,"Programming, Data Analysis, Public Speaking, Problem Solving, Artistic",West Bengal,Junior,Psychology,7.38,"Spanish, English, French, Chinese","Volunteer Group, Art Club, Music Club, Sports Team, Coding Club, Debate Club",Mathematics,Female
Volunteer Group,"Data Analysis, Public Speaking, Problem Solving, Artistic",Andhra Pradesh,Graduate,Physics,7.56,"Japanese, German, French, English, Chinese","Art Club, Coding Club, Volunteer Group, Music Club",Mathematics,Female
Debate Club,"Programming, Leadership",Arunachal Pradesh,Freshman,Physics,5.94,"Spanish, English, Chinese","Music Club, Sports Team",History,Male
Music Club,"Public Speaking, Artistic, Leadership",Assam,Senior,Computer Science,7.28,"Spanish, German, Japanese","Debate Club, Music Club, Art Club",Computer science,Female
Debate Club,Artistic,Andaman & Nicobar Islands,Junior,Physics,5.96,Japanese,"Sports Team, Debate Club, Volunteer Group, Art Club, Coding Club, Music Club",History,Male
Volunteer Group,"Data Analysis, Programming",Chandigarh,Sophomore,History,7.12,Spanish,Coding Club,Computer science,Female
Debate Club,"Programming, Artistic, Data Analysis",Dadra & Nagar Haveli and Daman & Diu,Sophomore,Mathematics,7.38,"Spanish, Chinese, English","Art Club, Debate Club, Coding Club, Music Club",Mathematics,Female
Coding Club,Problem Solving,Delhi,Freshman,Mathematics,5.38,"German, Japanese",Volunteer Group,Mathematics,Male
Coding Club,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking",Jammu & Kashmir,Sophomore,History,5.14,"English, Spanish","Art Club, Volunteer Group, Coding Club",Computer science,Female
Sports Team,"Data Analysis, Leadership, Artistic, Problem Solving, Programming, Public Speaking",Ladakh,Freshman,Physics,4.62,"German, English, Japanese, Spanish, French, Chinese",Volunteer Group,History,Male
Volunteer Group,"Public Speaking, Problem Solving, Leadership",Lakshadweep,Sophomore,Biology,4.86,"Chinese, Spanish, Japanese","Coding Club, Debate Club",History,Female
Sports Team,Artistic,Puducherry,Junior,Computer Science,4.68,"Japanese, Spanish, Chinese, English","Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team, Music Club",History,Female
Volunteer Group,"Problem Solving, Programming, Public Speaking, Artistic",Bihar,Junior,Mathematics,5.5,"German, English, Japanese","Volunteer Group, Sports Team, Coding Club, Art Club, Music Club, Debate Club",Computer science,Male
Art Club,"Data Analysis, Programming, Public Speaking, Leadership, Problem Solving, Artistic",Chhattisgarh,Senior,History,4.74,"Chinese, English, German, Japanese, Spanish","Debate Club, Sports Team, Music Club, Volunteer Group, Coding Club",History,Female
Debate Club,"Programming, Leadership",Goa,Senior,Physics,4.24,"Spanish, English, German","Debate Club, Sports Team, Music Club, Art Club, Coding Club, Volunteer Group",Biology,Male
Debate Club,"Public Speaking, Programming",Gujarat,Graduate,Computer Science,4.34,"English, Spanish, Chinese, French, German, Japanese","Art Club, Debate Club",Biology,Female
Debate Club,"Public Speaking, Data Analysis, Leadership, Problem Solving",Haryana,Junior,Biology,7.12,"Chinese, German","Music Club, Debate Club, Sports Team, Art Club, Volunteer Group",Computer science,Male
Music Club,"Public Speaking, Programming, Artistic, Data Analysis, Problem Solving",Himachal Pradesh,Senior,Computer Science,4.94,"Japanese, French","Debate Club, Music Club, Art Club, Coding Club, Volunteer Group",Biology,Male
Volunteer Group,"Artistic, Problem Solving",Jharkhand,Sophomore,Biology,7.0,"German, English, Spanish, French, Chinese","Debate Club, Volunteer Group",Computer science,Female
Volunteer Group,"Artistic, Leadership",Karnataka,Junior,Biology,7.58,"Spanish, French, Japanese, German","Art Club, Music Club, Debate Club",Computer science,Female
Debate Club,"Programming, Problem Solving",Kerala,Sophomore,History,6.04,"German, Spanish, English, Japanese","Coding Club, Art Club, Music Club, Debate Club, Volunteer Group",Computer science,Male
Debate Club,Public Speaking,Madhya Pradesh,Freshman,Computer Science,7.5,"French, Chinese, Spanish","Coding Club, Sports Team, Debate Club, Music Club",Computer science,Female
Art Club,"Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership, Programming",Maharashtra,Senior,Physics,7.06,"German, English, French",Volunteer Group,Computer science,Female
Music Club,"Public Speaking, Programming, Problem Solving, Artistic",Manipur,Sophomore,Psychology,5.32,"French, Spanish","Volunteer Group, Sports Team, Debate Club, Music Club, Coding Club",Computer science,Female
Sports Team,"Data Analysis, Artistic",Meghalaya,Sophomore,Computer Science,4.44,Chinese,"Volunteer Group, Art Club, Debate Club, Music Club, Sports Team, Coding Club",History,Male
Debate Club,"Leadership, Problem Solving, Artistic, Public Speaking",Mizoram,Senior,History,4.76,"Chinese, Spanish, German, English, Japanese",Volunteer Group,Biology,Male
Volunteer Group,"Public Speaking, Problem Solving, Artistic, Programming",Nagaland,Freshman,Mathematics,6.26,"Spanish, Chinese, French, English, Japanese","Music Club, Art Club, Volunteer Group, Debate Club, Coding Club, Sports Team",History,Male
Music Club,"Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking, Programming",Odisha,Graduate,Physics,6.7,"French, German, Spanish, Japanese, English, Chinese","Music Club, Volunteer Group, Debate Club, Sports Team",Mathematics,Male
Debate Club,"Public Speaking, Artistic, Leadership",Punjab,Sophomore,Physics,4.66,"Japanese, Chinese, French, English","Art Club, Music Club",History,Male
Volunteer Group,Data Analysis,Rajasthan,Freshman,Computer Science,5.98,"German, English, Japanese, Spanish, Chinese","Art Club, Sports Team",Biology,Male
Sports Team,"Leadership, Problem Solving",Sikkim,Freshman,Biology,5.02,"English, French, German, Chinese, Spanish","Debate Club, Sports Team, Coding Club, Art Club, Music Club",Mathematics,Male
Volunteer Group,"Leadership, Public Speaking, Data Analysis, Problem Solving, Programming, Artistic",Tamil Nadu,Freshman,Computer Science,6.08,Chinese,"Debate Club, Music Club, Volunteer Group, Sports Team",Computer science,Male
Debate Club,"Programming, Data Analysis, Problem Solving, Leadership, Public Speaking, Artistic",Telangana,Senior,History,5.82,"English, Chinese, Spanish, German","Debate Club, Art Club, Sports Team",Computer science,Male
Coding Club,"Programming, Public Speaking, Artistic, Leadership, Data Analysis, Problem Solving",Tripura,Graduate,Physics,5.3,"German, Chinese, English, Japanese","Sports Team, Art Club, Debate Club, Coding Club",Mathematics,Female
Art Club,"Leadership, Artistic",Uttar Pradesh,Junior,Psychology,4.94,"English, French, German","Debate Club, Art Club, Volunteer Group, Music Club",History,Male
Art Club,"Artistic, Problem Solving, Data Analysis, Programming",Uttarakhand,Freshman,Psychology,5.64,"Japanese, German, English, Chinese, Spanish",Sports Team,Mathematics,Female
Art Club,"Artistic, Problem Solving, Leadership, Data Analysis, Programming, Public Speaking",West Bengal,Senior,Biology,6.52,"French, English, Spanish","Sports Team, Music Club, Debate Club, Coding Club",History,Female
Art Club,"Programming, Artistic, Leadership, Data Analysis",Andhra Pradesh,Graduate,Physics,6.16,"English, Spanish, German","Music Club, Art Club, Volunteer Group",Mathematics,Female
Sports Team,"Data Analysis, Leadership, Programming, Artistic",Arunachal Pradesh,Junior,Computer Science,5.64,Chinese,"Music Club, Volunteer Group, Coding Club, Art Club, Sports Team, Debate Club",History,Male
Sports Team,Leadership,Assam,Sophomore,Computer Science,7.94,"Spanish, English, German, Chinese, French","Coding Club, Music Club",Computer science,Male
Music Club,"Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",Andaman & Nicobar Islands,Junior,Mathematics,7.22,"Japanese, Spanish, German, French","Debate Club, Music Club",Mathematics,Male
Sports Team,"Public Speaking, Data Analysis",Chandigarh,Freshman,Mathematics,4.14,"Chinese, German, French, Spanish, English","Music Club, Volunteer Group, Coding Club, Art Club, Sports Team",Biology,Male
Coding Club,Data Analysis,Dadra & Nagar Haveli and Daman & Diu,Freshman,Mathematics,5.86,Japanese,"Sports Team, Coding Club, Debate Club, Art Club",Biology,Female
Volunteer Group,"Artistic, Problem Solving, Public Speaking, Leadership, Programming",Delhi,Senior,Psychology,7.42,"English, Spanish, German","Sports Team, Music Club, Volunteer Group, Art Club, Debate Club, Coding Club",Mathematics,Male
Coding Club,"Data Analysis, Programming, Public Speaking, Problem Solving",Jammu & Kashmir,Senior,Computer Science,5.14,"German, English, Japanese, Chinese, French, Spanish","Debate Club, Music Club, Art Club, Sports Team, Volunteer Group",Mathematics,Male
Sports Team,"Artistic, Problem Solving, Data Analysis, Programming, Leadership, Public Speaking",Ladakh,Sophomore,Psychology,5.56,Chinese,"Debate Club, Art Club, Sports Team, Volunteer Group, Music Club, Coding Club",Mathematics,Male
Art Club,"Public Speaking, Data Analysis",Lakshadweep,Freshman,Physics,5.26,"French, English, Japanese","Volunteer Group, Debate Club",Biology,Male
